Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
7.867609786987304688e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.179699999999999704e+01,4.121099999999999852e+01,5.000000000000000000e+01,2.300000000000000000e+01
7.966805553436279297e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.174799999999999756e+01,4.111299999999999955e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.066791319847106934e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.184599999999999653e+01,4.106400000000000006e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.165981245040893555e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.189500000000000313e+01,4.101599999999999824e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.265930843353271484e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.179699999999999704e+01,4.111299999999999955e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.365161299705505371e+01,9.886940774642974361e+01,0.000000000000000000e+00,4.194299999999999784e+01,4.101599999999999824e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.465066504478454590e+01,9.897983574248002014e+01,0.000000000000000000e+00,4.209000000000000341e+01,4.091799999999999926e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.564302992820739746e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.218800000000000239e+01,4.101599999999999824e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.664247536659240723e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.218800000000000239e+01,4.101599999999999824e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.763432550430297852e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.209000000000000341e+01,4.101599999999999824e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.863381695747375488e+01,9.809245369589328334e+01,0.000000000000000000e+00,4.228499999999999659e+01,4.091799999999999926e+01,5.000000000000000000e+01,2.300000000000000000e+01
8.962615203857421875e+01,9.958759948811638196e+01,0.000000000000000000e+00,4.238300000000000267e+01,4.082000000000000028e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.062558579444885254e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.247999999999999687e+01,4.077100000000000080e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.161732888221740723e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.252900000000000347e+01,4.082000000000000028e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.261783075332641602e+01,9.665188252573464922e+01,0.000000000000000000e+00,4.272500000000000142e+01,4.067399999999999949e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.360888695716857910e+01,9.609663714284160108e+01,0.000000000000000000e+00,4.292000000000000171e+01,4.072299999999999898e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.460931134223937988e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.257800000000000296e+01,4.062500000000000000e+01,5.000000000000000000e+01,2.300000000000000000e+01
9.560064840316772461e+01,9.701207909862822021e+01,0.000000000000000000e+00,4.287100000000000222e+01,4.072299999999999898e+01,5.000000000000000000e+01,2.300000000000000000e+01
